NegotiationID;Day;Month;Year;Hours;Minutes;SenderID;SenderBestCase;SenderWorstCase;ReceiverID ;ReceiverBestCase 1;ReceiverWorstCase 1;JointUtility (Best);JointUtility (Worst);ContractImbalance (Best);ContractImbalance (Worst);Value 1= - ;Value 1=h;Value 1=g;Value 1=i;Value 1=j;Utility_Issue1;Value 2= - ;Value 2=z;Value 2=y;Value 2=x;Utility_Issue2;Value 3= - ;Value 3=n;Value 3=m;Value 3=l;Value 3=k;Utility_Issue3;Value 4= - ;Value 4=r;Value 4=s;Value 4=q;Value 4=p;Value 4=t;Utility_Issue4;Value 5= - ;Value 5=b;Value 5=a;Value 5=c;Utility_Issue5;MessageType
319;5;12;2017;18;4;322;0.1734;0.1734;321;0.6422;0.6422;0.8156;0.8156;0.4688;0.4688;0;0;1;0;0;0.054;0;1;0;0;0.026;0;1;0;0;0;0;0;1;0;0;0;0;0.0448;0;0;0;1;0.0486;5
345;4;12;2017;12;3;347;0.124;0.068;348;0.1468;0.0868;0.2709;0.155;0.023;0.019;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
345;5;12;2017;9;12;348;0.248;0.136;347;0.2937;0.1738;0.5418;0.31;0.046;0.038;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3
345;5;12;2017;12;6;347;0.372;0.204;348;0.4405;0.2606;0.8126;0.465;0.069;0.057;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
345;5;12;2017;18;33;348;0.496;0.272;347;0.5874;0.3475;1.0835;0.62;0.092;0.076;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3
345;6;12;2017;12;0;347;0.62;0.34;348;0.7344;0.4344;1.3544;0.7744;0.1144;0.0944;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0.18;0;0;0;1;0;0;0.16;0;0;1;0;0;0
345;6;12;2017;19;5;348;0.8976;0.8976;347;0.0732;0.0732;0.9708;0.9708;0.8244;0.8244;0;1;0;0;0;0.3;0;0;1;0;0.2;0;0;1;0;0;0.0576;0;0;1;0;0;0;0.16;0;0;1;0;0.18;1
345;7;12;2017;10;37;347;0.2532;0.2532;348;0.8704;0.8704;1.1236;1.1236;0.6172;0.6172;0;1;0;0;0;0.0588;0;0;1;0;0;0;0;0;0;1;0.18;0;0;1;0;0;0;0.0144;0;0;1;0;0;1
345;7;12;2017;14;39;348;0.2532;0.2532;347;0.8704;0.8704;1.1236;1.1236;0.6172;0.6172;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
345;7;12;2017;14;49;347;0.2532;0.2532;348;0.8704;0.8704;1.1236;1.1236;0.6172;0.6172;0;1;0;0;0;0.0588;0;0;1;0;0;0;0;0;0;1;0.18;0;0;1;0;0;0;0.0144;0;0;1;0;0;1
345;7;12;2017;15;18;348;0.8704;0.8704;347;0.2532;0.2532;1.1236;1.1236;0.6172;0.6172;0;1;0;0;0;0.3;0;0;1;0;0.2;0;0;0;0;1;0.0304;0;0;1;0;0;0;0.16;0;0;1;0;0.18;4
371;4;12;2017;8;13;373;0.2;0.2;374;0.022;0.022;0.022;0.022;0.022;0.022;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
371;4;12;2017;22;38;374;0.4;0.4;373;0.043;0.043;0.043;0.043;0.043;0.043;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3
371;5;12;2017;9;41;373;0.6;0.6;374;0.065;0.065;0.065;0.065;0.065;0.065;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
371;5;12;2017;18;11;374;0.8;0.8;373;0.087;0.087;0.087;0.087;0.087;0.087;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3
371;5;12;2017;20;50;373;1;1;374;0.1084;0.1084;1.1084;1.1084;0.8916;0.8916;0;0;1;0;0;0.28;0;0;0;1;0.2;0;0;0;0;1;0.18;0;0;0;1;0;0;0.16;0;1;0;0;0.18;0
371;5;12;2017;23;11;374;0.92;0.38;373;0.7084;0.1484;1.6284;0.5284;0.2116;0.2316;0;1;0;0;0;0.3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0.08;1;0;0;0;0;1
371;6;12;2017;17;13;373;0.9296;0.5496;374;0.494;0.134;1.4236;0.6836;0.4356;0.4156;0;0;1;0;0;0.28;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0.0896;0;1;0;0;0.18;1
371;6;12;2017;18;16;374;0.674;0.514;373;0.5496;0.3696;1.2236;0.8836;0.1244;0.1444;0;0;1;0;0;0.054;0;0;1;0;0.2;1;0;0;0;0;0;0;0;0;0;1;0;0.08;0;0;1;0;0.18;1
371;6;12;2017;21;17;373;1;1;374;0.1084;0.1084;1.1084;1.1084;0.8916;0.8916;0;0;1;0;0;0.28;0;0;0;1;0.2;0;0;0;0;1;0.18;0;0;0;1;0;0;0.16;0;1;0;0;0.18;1
371;7;12;2017;15;14;374;0.6244;0.6244;373;0.4744;0.4744;1.0988;1.0988;0.15;0.15;0;0;1;0;0;0.054;0;0;1;0;0.2;0;0;0;0;1;0.0304;0;0;1;0;0;0;0.16;0;0;1;0;0.18;1
371;7;12;2017;16;13;373;0.6776;0.6776;374;0.3704;0.3704;1.048;1.048;0.3072;0.3072;0;0;1;0;0;0.28;0;1;0;0;0.128;0;0;0;0;1;0.18;0;0;0;0;1;0;0.0896;0;0;1;0;0;1
371;7;12;2017;19;13;374;1;0.62;373;0.5054;0.1254;1.5054;0.7454;0.4946;0.4946;0;1;0;0;0;0.3;1;0;0;0;0;0;0;0;1;0;0.16;0;0;1;0;0;0;0.16;1;0;0;0;0;1
371;7;12;2017;20;5;373;0.8544;0.8544;374;0.2444;0.2444;1.0988;1.0988;0.61;0.61;0;0;1;0;0;0.28;0;0;0;1;0.2;0;0;0;0;1;0.18;0;0;1;0;0;0;0.0144;0;1;0;0;0.18;1
371;8;12;2017;0;42;374;0.6244;0.6244;373;0.4744;0.4744;1.0988;1.0988;0.15;0.15;0;0;1;0;0;0.054;0;0;1;0;0.2;0;0;0;0;1;0.0304;0;0;1;0;0;0;0.16;0;0;1;0;0.18;1
